;;;; ;;;;;;;;;;;;;;;;; ONCOPROD RS ; ONCOPROD SP ; ONCOPROD PE ; NORPROD CE ; HOSPLOG DF ;;;; ONCOPROD ES ;;;; Preço Fabrica ;;;;; PMC ;;;;;
1359;01/10/2019;0,02;0,04;AFINITOR 2,5MG CX C/ 30 COMP.;EVEROLIMO ;NOVARTIS;3004.90.78;POSITIVA;SIMILAR;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;CONVENIO 118;NÃO;NACIONAL;SP;ORIENTAÇÃO GERENTE IOLE, NÃO VENDER PARA FARMÁCIAS/ DELIVERY E DISTRIBUIDORAS;7,89626E+12;2;0,0422;2614,25;2614,25;2614,25;2614,25;2614,25;2751,84;2614,25;2614,25;2614,25;2614,25;2614,25;2614,25;2669,87;3216,71;3236,21;3255,94;3255,94;3690,94;3690,94;3690,94;3690,94;3690,94;Câncer avançado de mama, estômago, intestino, pulmão, pâncreas, rim ou cerebral
514;01/10/2019;0,02;0,04;AFINITOR 5 MG CX C/ 30 CPS.;EVEROLIMO ;NOVARTIS;3004.90.78;POSITIVA;SIMILAR;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;CONVENIO 118;NÃO;NACIONAL;SP;ORIENTAÇÃO GERENTE IOLE, NÃO VENDER PARA FARMÁCIAS/ DELIVERY E DISTRIBUIDORAS;7,89626E+12;2;0,0422;5228,57;5228,57;5228,57;5228,57;5228,57;5503,76;5228,57;5228,57;5228,57;5228,57;5228,57;5228,57;5339,82;6433,52;6472,51;6511,98;6511,98;7381,99;7381,99;7381,99;7381,99;7381,99;Câncer avançado de mama, estômago, intestino, pulmão, pâncreas, rim ou cerebral
110840;22/08/2019;PRODUTO NOVO ;PRODUTO NOVO ;AFREZZA 12U PO INAL 90REF+2INAL;INSUL HUMANA ;BIOMM AS;3004.31.00;POSITIVA;OUTROS;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;AGUARDANDO LIBERAÇÃO DE PREÇO CMED - PREVISÃO SETEMBRO/2020;7,89862E+12;INFO PENDENTE;INFO PENDENTE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Insulina Inalável
110841;22/08/2019;PRODUTO NOVO ;PRODUTO NOVO ;AFREZZA 4+8U PO INAL 180REF+2INA;INSUL HUMANA ;BIOMM AS;3004.31.00;POSITIVA;OUTROS;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;AGUARDANDO LIBERAÇÃO DE PREÇO CMED - PREVISÃO SETEMBRO/2021;7,89862E+12;INFO PENDENTE;INFO PENDENTE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Insulina Inalável
110836;22/08/2019;PRODUTO NOVO ;PRODUTO NOVO ;AFREZZA 8U PO INAL 90REF+ 2INAL;INSUL HUMANA ;BIOMM AS;3004.31.00;POSITIVA;OUTROS;REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;AGUARDANDO LIBERAÇÃO DE PREÇO CMED - PREVISÃO SETEMBRO/2019;7,89862E+12;INFO PENDENTE;INFO PENDENTE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Insulina Inalável
110267;19/08/2019;0,03;VERIFICAR COM CAIO;AKYNZEO 0,56MG + 300MG C/1 CAPS;PALONOSETRONA+NE, CLORIDRATO DE ;MUNDIPHARMA;3004.90.69;NEGATIVA;REFERÊNCIA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;ANTES DE COTAR - PRECISAMOS SABER SE TEM OL - CONTATO GERENTE CAIO 11 99671-9775;7,89859E+12;3;0,0323;286,73;286,73;286,73;0;282,75;282,75;284,73;286,73;282,75;282,75;286,73;295,03;235,11;282,75;284,73;286,73;295,03;306,94;376,88;379,44;382,01;392,69;Prevenção de náusea e vômitos por conta da quimioterapia antineoplásica
4295;30/12/2019;0,01;TABELA;ALBUREX 200G L SOL INJ FA X 50ML;ALBUMINA HUMANA ;CSL BEHRING;3002.15.90;POSITIVA;OUTROS;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;TRIBUTADO;NÃO;NACIONAL;SP;BERIBUMIN 20% 50 ML C 1 AMP ESTÁ SUBSTITUINDO;7,8975E+12;3;0,0323;119,82;119,82;119,82;0;118,54;118,54;118,54;119,82;118,54;118,54;119,82;122;185,52;223,53;224,88;226,25;231,9;0;0;0;0;0;Restauração e a manutenção do volume sanguíneo circulante
1239;01/10/2019;0,02;FÁBRICA;ALDACTONE 100 MG CX. C/ 16 COMPR.;ESPIRONOLACTONA ;PFIZER/WYETH;3004.90.59;POSITIVA;REFERÊNCIA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;;7,89127E+12;3;0,0323;28,13;28,13;28,13;0;27,79;27,79;27,96;28,13;27,79;27,79;28,13;28,83;23,06;27,79;27,96;28,13;28,83;31,8816;38,42;38,64436364;38,88;39,86;Tratamento da hipertensão essencial
1225;01/10/2019;0,02;FÁBRICA;ALDACTONE 25 MG CX. C/ 30 COMPR.;ESPIRONOLACTONA ;PFIZER/WYETH;3004.90.59;POSITIVA;REFERÊNCIA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;;7,89127E+12;3;0,0323;24,66;24,66;24,66;0;24,36;24,36;24,51054545;24,66;24,36;24,36;24,66;25,28;20,22;24,36;24,51;24,66;25,28;27,962;33,69;33,89333333;34,1;34,95;Tratamento da hipertensão essencial
1330;01/10/2019;0,02;FÁBRICA;ALDACTONE 50MG CX. C/ 30COMPR.;ESPIRONOLACTONA ;PFIZER/WYETH;3004.90.59;POSITIVA;REFERÊNCIA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;;7,89127E+12;3;0,0323;38,81;38,81;38,81;0;38,34;38,34;38,57;38,81;38,34;38,34;38,81;39,78;31,82;38,34;38,57;38,81;39,78;43,993;53;53,32484848;53,65;54,99;Tratamento da hipertensão essencial
110674;01/10/2019;FÁBRICA;FÁBRICA;ALECENSA 150MG CAP DURA CT X 224;ALECTINIBE, CLORIDRATO DE ;ROCHE;3004.90.69;NEGATIVA;OUTROS;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;GO;;7,61333E+12;2;0,0422;25489,66;25489,66;25489,66;0;25136,07;25136,07;25311,61;25489,66;25136,07;25136,07;25489,66;26227,64;20901,52;25136,07;25311,61;25489,66;26227,64;0;25136,07;25311,61;33960,09;34909,86;Câncer de pulmão
89;24/02/2020;0,02;0,05;ALFAINTERFERONA 2B RECOMB. 10.000MUI C/5FA+5AMP DIL 1ML;ALFAINTERFERONAB ;ACHE/BIOSINTETICA;3002.10.39;POSITIVA;OUTROS;REFRIGERADO;NÃO CONTROLADO;NÃO;ISENTO;NÃO;NACIONAL;SP;;7,89618E+12;3;0,0323;907,41;907,41;907,41;907,41;907,41;907,41;907,41;907,41;907,41;907,41;907,41;907,41;1643,57;0;0;0;0;1393,824;1393,824;1393,824;1393,824;1393,824;Tratamento de Hepatites B e C crônicas, Aids e Leocemia 
87;24/02/2020;0,02;0,05;ALFAINTERFERONA 2B RECOMB. 3000MUI C/5FA+5AMP DIL 1ML;ALFAINTERFERONAB ;ACHE/BIOSINTETICA;3002.10.39;POSITIVA;SIMILAR;REFRIGERADO;NÃO CONTROLADO;NÃO;ISENTO;NÃO;NACIONAL;SP;;7,89618E+12;3;0,0323;268,82;268,82;268,82;268,82;268,82;268,82;268,82;268,82;268,82;268,82;268,82;268,82;578,21;0;0;0;0;490,344;490,344;490,344;490,344;490,344;Tratamento de Hepatites B e C crônicas, Aids e Leocemia 
88;24/02/2020;0,02;0,05;ALFAINTERFERONA 2B RECOMB. 5.000MUI C/5FA+5AMP DIL 1ML;ALFAINTERFERONAB ;ACHE/BIOSINTETICA;3002.10.39;POSITIVA;SIMILAR;REFRIGERADO;NÃO CONTROLADO;NÃO;ISENTO;NÃO;NACIONAL;SP;;7,89618E+12;3;0,0323;477,24;477,24;477,24;477,24;477,24;477,24;477,24;477,24;477,24;477,24;477,24;477,24;864,43;0;0;0;0;733,072;733,072;733,072;733,072;733,072;Tratamento de Hepatites B e C crônicas, Aids e Leocemia 
687;01/10/2019;0,03;0,05;ALIMTA 100MG FR.;PEMETREXEDE ;ELI LILLY;3004.90.68;POSITIVA;REFERÊNCIA;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;CONVENIO 118;NÃO;NACIONAL;SP;SEMPRE VERIFICAR A O.L DO CLIENTE ;7,89638E+12;1;0,0521;1236,4;1236,4;1236,4;1236,4;1236,4;1301,47;1236,4;1236,4;1236,4;1236,4;1236,4;1236,4;1249,5488;1505,48;1514,6;1523,84;1561,94;0;0;0;0;0;Câncer de pulmão, sem possibilidade de cirurgia 
2081;01/10/2019;0,03;0,05;ALIMTA 500MG FR.;PEMETREXEDE ;ELI LILLY;3004.90.68;POSITIVA;REFERÊNCIA;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;CONVENIO 118;NÃO;NACIONAL;SP;SEMPRE VERIFICAR A O.L DO CLIENTE ;7,89638E+12;1;0,0521;6182,051297;6182,051297;6182,051297;6182,051297;6182,051297;6507,422382;6182,051297;6182,051297;6182,051297;6182,051297;6182,051297;6182,051297;6247,8178;7527,49;7573,11;7619,29;7809,77;0;0;0;0;0;Câncer de pulmão, sem possibilidade de cirurgia 
1585;01/10/2019;0,02;0,05;ALKERAN 2 MG C/25 CPS;MELFALANA ;ASPEN PHARMA;3004.90.38;POSITIVA;REFERÊNCIA;REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;NÃO;NACIONAL;ES;;7,89586E+12;3;0,0323;111,1775353;0;111,1807445;0;109,8412175;109,8412175;110,5069219;111,1807445;109,8414737;111,01;112,36;120,9175184;92,1352;111,01;111,68;112,36;115,17;127,3788;153,46;154,3985455;155,34;159,22;Câncer de ovariano avançado e Câncer de mama 
1584;01/10/2019;0,02;FÁBRICA;ALKERAN 50 MG FR.AMP+DIL.;MELFALANA ;ASPEN PHARMA;3004.90.38;POSITIVA;REFERÊNCIA;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;TRIBUTADO;SIM;IMPORTADO;ES;PEDIR PARA O CLIENTE LIGAR NO SAC DA ASPEN;7,89586E+12;3;0,0323;161,54;0;161,54;0;159,6;159,6;160,5609697;161,54;159,6;159,6;161,54;165,58;132,4628;159,59;160,56;161,54;165,58;183,1306;220,64;221,9764848;223,33;228,91;Câncer de ovariano avançado e Câncer de mama 
900;01/10/2019;0,03;0,08;AMBISOME 50 MG PÓ LIOF. INJ. CX C/ 10 FA;ANFOTERICINAB ;UNITED MEDICAL;3004.20.95;POSITIVA;OUTROS;REFRIGERADO;NÃO CONTROLADO;SIM;TRIBUTADO;NÃO;NACIONAL;GO;;3,61959E+11;1;0,0521;12948,989;0;12948,94022;0;12792,92889;12792,92889;12870,46179;12948,94022;12792,92889;12858,118;12996,61561;13282,75862;15330,66;18470,68;18582,61;18695,93;19163,33;0;0;0;0;0;Tratar infecções graves causadas por fungos e Tratamento de uma doença causada por um parasita
4499;01/10/2019;0,02;0,04;ANAFRANIL 25MG CX C/20 DRAGEAS (C1);CLOMIPRAMINA, CLORIDRATO DE ;NOVARTIS;3004.90.69;POSITIVA;REFERÊNCIA;NÃO REFRIGERADO;CONTROLADO;NÃO;TRIBUTADO;NÃO;NACIONAL;SP;COMPRADO PARA BP;7,89626E+12;INFO PENDENTE;INFO PENDENTE;21,36;21,36;21,08;0;20,83;20,83;20,96;21,08;20,94;20,94;21,16;21,63;25,0592;30,19;30,37;30,56;30,56;34,645;41,74;41,99393939;42,25;42,25;Tratar a depressão e distúrbios do humor e para crianças trata incontinência urinária
1344;11/04/2019;TABELA;TABELA;ANASTROLIBBS 1MG C/ 30 COMPR. REV.;ANASTROZOL ;LIBBS;3004.90.69;POSITIVA;SIMILAR;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;CONVENIO 118;NÃO;NACIONAL;SP;;7,89609E+12;2;0,0422;38,36;38,36;38,36;38,36;38,36;38,36;38,36;38,36;38,36;38,36;38,36;38,36;584,6108;704,35;708,62;712,94;730,76;808,18;808,18;808,18;808,18;808,18;Câncer de mama, pós-menopausa
793;07/10/2019;0,02;0,05;ANASTROZOL 1MG C/30 COMP EUR;ANASTROZOL ;EUROFARMA;3004.90.69;POSITIVA;GENÉRICO;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;CONVENIO 118;NÃO;NACIONAL;SP;;7,89132E+12;2;0,0422;40,73;40,73;40,73;40,73;40,73;42,87;40,73;40,73;40,73;40,73;40,73;40,73;424,7272;511,72;514,82;517,96;530,91;587,16;707,42;711,71;716,05;733,95;Câncer de mama, pós-menopausa
715218;01/10/2019;0,1;0,15;ANDALAN CLASSIC CU 380;DIU - ANTICONCEPTIVO;DKT;9018.90.99;OUTROS;OUTROS;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;;7,89808E+12;2;0,0422;87,57934003;0;0;0;0;0;0;0;78;78;78;78;0;0;0;0;0;0;0;0;0;0;Indicado para histerometria (DIU)
715219;01/10/2019;0,1;0,15;ANDALAN COMFORT CU 375;DIU - ANTICONCEPTIVO;DKT;9018.90.99;OUTROS;OUTROS;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;;7,89808E+12;2;0,0422;134,8829268;0;0;0;0;0;0;0;120;120;120;120;0;0;0;0;0;0;0;0;0;0;Indicado para histerometria (DIU)
715217;24/01/2020;0,1;0,15;ANDALAN COMFORT MINI CU 375;DIU - ANTICONCEPTIVO;DKT;9018.90.99;OUTROS;OUTROS;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;;7,89808E+12;2;0,0422;0;0;0;0;0;0;0;0;0;0;0;0;;120,52;120,52;120,52;120,52;0;0;0;0;0;Indicado para histerometria (DIU)
715216;01/10/2019;0,1;0,15;ANDALAN SILVERFLEX CU 380 AG;DIU - ANTICONCEPTIVO;DKT;9018.90.99;OUTROS;OUTROS;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;;7,89808E+12;2;0,0422;267,61;231,58;233,81;0;230,69;230,69;232,24;233,81;226,76;226,76;229,43;234,97;0;0;0;0;0;0;0;0;0;0;Indicado para histerometria (DIU)
81;01/10/2019;0,02;0,05;ANSENTRON 4 MG C/1 AMP 2ML;ONDANSETRONA, CLORETO DE ;ACHE/BIOSINTETICA;3004.90.69;POSITIVA;SIMILAR;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;TRIBUTADO;NÃO;NACIONAL;SP;;7,89618E+12;3;0,0323;4,839743991;0;4,810269576;0;4,752314521;4,752314521;4,781116427;4,810269576;5,022353836;4,776551353;4,828000635;4,934297434;49,1918;59,27;59,63;59,99;61,49;68,0026;81,94;82,42739394;82,93;85,01;Controle de náuseas e vômitos, por conta da quimioterapia ou radioterapia e pós operações 
82;01/10/2019;0,02;0,05;ANSENTRON 8 MG C/1 AMP 4ML;ONDANSETRONA, CLORETO DE ;ACHE/BIOSINTETICA;3004.90.69;POSITIVA;SIMILAR;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;TRIBUTADO;NÃO;NACIONAL;SP;;7,89618E+12;3;0,0323;6,343176802;0;6,304107831;0;6,228154724;6,228154724;6,265901116;6,304107831;6,581946734;6,259815139;6,327240981;6,466546154;100,5812;121,18;121,92;122,66;125,73;139,0474;167,52;168,542303;169,57;173,81;Controle de náuseas e vômitos, por conta da quimioterapia ou radioterapia e pós operações 
4179;01/10/2019;0,02;0,04;APRESOLINA 25MG CX C/ 20 DRG BL AL/AL;HIDRALAZINA, CLORETO DE ;NOVARTIS;3004.90.69;OUTROS;REFERÊNCIA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;NÃO;NACIONAL;SP;COMPRADO PARA BP;7,89626E+12;2;0,0422;4,915897627;0;4,889735772;0;4,830823293;4,830823293;4,86010101;4,889735772;5,1053125;4,855449879;4,907748995;5,015801593;4,3706;5,27;5,3;5,33;5,46;6,0434;7,29;7,325333333;7,37;7,55;Tratar a pressão arterial elevada (hipertensão) e insuficiência cardíaca
4285;01/10/2019;0,02;0,07;ARANESP 500MCG/ML SOL INJ C/ SER PREENCH X 1ML + AGU - AMGEN;ALFADARBEPOETINA ;AMGEM/BERGAMO;3002.10.39;NEGATIVA;OUTROS;REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;NÃO;NACIONAL;SP;;7,89861E+12;2;0,0422;2609,017252;0;2605,523997;0;2574,132141;2574,132141;2589,732942;2605,523997;2686,17747;2554,711405;2582,228762;2639,081003;2629,5022;3162,23;3184,31;3206,71;3299,55;3503,3024;4215;4246,427152;4272,32;4391,81;Tratar a anemia
109987;01/10/2019;0,03;0,04;ARAZABI 1MG C/30;ANASTROZOL ;E.M.S.;3004.90.69;POSITIVA;SIMILAR;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;ISENTO;NÃO;NACIONAL;SP;;7,896E+12;2;0,0422;27,43047917;27,43047917;27,43047917;27,43047917;27,43047917;465,7127193;27,43047917;27,43047917;27,43047917;27,43047917;27,43047917;27,43047917;424,7272;0;0;0;0;587,16;707,42;711,71;716,05;733,95;Câncer de mama, pós-menopausa
1072;01/10/2019;0,03;0,05;ARIMIDEX 1 MG C/28 CPS;ANASTROZOL ;ASTRAZENECA;3004.90.69;POSITIVA;REFERÊNCIA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;CONVENIO 118;NÃO;NACIONAL;SP;NO MOMENTO PODEMOS ATENDER BRASIL;7,89621E+12;2;0,0422;449,3705263;449,3705263;449,3705263;449,3705263;449,3705263;473,0216066;449,3705263;449,3705263;449,3705263;449,3705263;449,3705263;449,3705263;609,8586;734,77;739,22;743,73;762,32;843,1;843,1;843,1;843,1;843,1;Câncer de mama, pós-menopausa
