03804;24/05/2018;Fábrica;Fábrica;ADCETRIS 50 MG PO LIOF INJ CX C/ 1 FA;BRENTUXIMABE VEDOTINA;TAKEDA;3002.10.39;OUTROS;REFRIGERADO;NÃO CONTROLADO;NÃO;REGIME NORMAL;NÃO;NACIONAL;;LAB ORIENTA A VENDER A FÁBRICA;7896641810275;3;2,09%; R$ -   ; -   ; -   ; -   ; R$ 16.173,92 ; R$ -   ; R$ 16.286,88 ; R$ 16.401,44 ; R$ 16.876,29 ; R$ 16.173,92 ; R$ 16.286,88 ; R$ 16.401,44 ; R$ 16.876,29 ; R$ 16.876,29 ; R$ -   ; R$ 16.173,92 ; R$ 16.286,88 ; R$ 16.401,44 ; R$ 16.876,29 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;ANTINEOPLÁSICO - Anticorpo Monoclonal - Linfoma de Hodgkin (LH) CD30+ recidivante ou refratário e linfoma anaplásico;;
00074;31/07/2018;4%;8,00%;ADRIBLASTINA RD 10MG;DOXORRUBICINA, CLORIDRATO DE;PFIZER;3004.20.99;POSITIVA;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;CONVENIO 118;NÃO;IMPORTADO;SP;Teremos desconto reduzido para 0% de desconto, cuidado com contratos, ainda temos mil caixas em estoque - 31/07/2018;7891268100112;3;2,09%; R$ 21,95 ; R$ 21,95 ; R$ 22,77 ; R$ 21,95 ; R$ 21,95 ; R$ 25,82 ; R$ 21,95 ; R$ 21,95 ; R$ 21,95 ; R$ 21,95 ; R$ 21,95 ; R$ 21,95 ; R$ 21,95 ; R$ 21,95 ; R$ 42,07 ; R$ 50,69 ; R$ 51,00 ; R$ 51,31 ; R$ 52,59 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;"ANTINEOPLÁSICO - Regressão em várias neoplasias (tumores malignos – cânceres), tais como carcinoma da mama, pulmão, bexiga, tireoide e ovário; sarcomas ósseos e de tecidos moles; linfomas de Hodgkin e não-Hodgkin; neuroblastoma; tumor de Wilms; leucemia linfoblástica aguda e leucemia mieloblástica aguda";;
00075;31/07/2018;4%;8,00%;ADRIBLASTINA RD 50MG;DOXORRUBICINA, CLORIDRATO DE;PFIZER;3004.20.99;POSITIVA;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;CONVENIO 118;NÃO;IMPORTADO;SP;;7891268100136;3;2,09%; R$ 104,50 ; R$ 104,50 ; R$ 108,40 ; R$ 104,50 ; R$ 104,50 ; R$ 122,96 ; R$ 104,50 ; R$ 104,50 ; R$ 104,50 ; R$ 104,50 ; R$ 104,50 ; R$ 104,50 ; R$ 104,50 ; R$ 104,50 ; R$ 174,83 ; R$ 210,64 ; R$ 211,92 ; R$ 213,21 ; R$ 218,54 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;"ANTINEOPLÁSICO - Regressão em várias neoplasias (tumores malignos – cânceres), tais como carcinoma da mama, pulmão, bexiga, tireoide e ovário; sarcomas ósseos e de tecidos moles; linfomas de Hodgkin e não-Hodgkin; neuroblastoma; tumor de Wilms; leucemia linfoblástica aguda e leucemia mieloblástica aguda";;
00513;11/06/2018;4%;5,00%;AFINITOR 10 MG CX C/ 30 CPS.;EVEROLIMO;NOVARTIS;3004.90.78;POSITIVA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;CONVENIO 118;NÃO;NACIONAL;;;7896261016545;1;2,84%; R$ 10.128,67 ; R$ 10.128,67 ; R$ 10.236,42 ; R$ 10.128,67 ; R$ -   ; R$ 10.236,42 ; R$ -   ; R$ -   ;; R$ -   ; R$ -   ;; R$ -   ; R$ -   ; R$ 10.236,42 ; R$ 12.333,04 ; R$ 12.407,78 ; R$ 12.483,44 ; R$ 12.795,53 ; R$ 14.151,25 ; R$ 17.049,70 ; R$ 17.153,03 ; R$ 17.257,62 ; R$ 17.689,07 ; INIBIDOR DO Mtor - Câncer de mama, Neoplasia Renal, Tumores Neuroendócrinos;;
01359;11/06/2018;4%;5,00%;AFINITOR 2,5MG CX C/ 30 COMP.;EVEROLIMO;NOVARTIS;3004.90.78;POSITIVA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;CONVENIO 118;NÃO;NACIONAL;;;7896261018075;1;2,84%; R$ 2.532,12 ; R$ 2.532,12 ; R$ 2.559,06 ; R$ 2.532,12 ; R$ -   ; R$ 2.559,06 ; R$ -   ; R$ -   ;; R$ -   ; R$ -   ;; R$ -   ; R$ -   ; R$ 2.559,06 ; R$ 3.083,21 ; R$ 3.101,89 ; R$ 3.120,81 ; R$ 3.198,83 ; R$ 3.537,75 ; R$ 4.262,36 ; R$ 4.288,18 ; R$ 4.314,34 ; R$ 4.422,19 ; INIBIDOR DO Mtor - Câncer de mama, Neoplasia Renal, Tumores Neuroendócrinos;;
00514;11/06/2018;4%;5,00%;AFINITOR 5 MG CX C/ 30 CPS.;EVEROLIMO;NOVARTIS;3004.90.78;POSITIVA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;CONVENIO 118;NÃO;IMPORTADO;;;7896261016538;1;2,84%; R$ 5.064,33 ; R$ 5.064,33 ; R$ 5.118,21 ; R$ 5.064,33 ; R$ -   ; R$ 5.118,21 ; R$ -   ; R$ -   ;; R$ -   ; R$ -   ;; R$ -   ; R$ -   ; R$ 5.118,21 ; R$ 6.166,52 ; R$ 6.203,89 ; R$ 6.241,72 ; R$ 6.397,76 ; R$ 7.075,63 ; R$ 8.524,85 ; R$ 8.576,51 ; R$ 8.628,81 ; R$ 8.844,53 ; INIBIDOR DO Mtor - Câncer de mama, Neoplasia Renal, Tumores Neuroendócrinos;;
01120;04/07/2018;4%;10,00%;AGULHA DE ASPIRAÇÃO 16 G;AGULHAS;LEXEL MEDICAL;9018.32.19;NEUTRA;;;SIM;REGIME NORMAL;NÃO;NACIONAL;;;CORRELATO;OL;0,00%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 12,21 ; R$ -   ; R$ 12,21 ; R$ 12,21 ;; R$ 12,21 ; R$ 12,21 ;; R$ 12,21 ; R$ 12,21 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;;;;;;Conhecida também como agulha de Mielograma para coleta de Aspirados e fragmentos de medula óssea para biopsia;;
01121;04/07/2018;4%;10,00%;AGULHA DE ASPIRAÇÃO 18 G;AGULHAS;LEXEL MEDICAL;9018.32.19;NEUTRA;;;SIM;REGIME NORMAL;NÃO;NACIONAL;;;CORRELATO;OL;0,00%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 12,21 ; R$ -   ; R$ 12,21 ; R$ 12,21 ;; R$ 12,21 ; R$ 12,21 ;; R$ 12,21 ; R$ 12,21 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;;;;;;Conhecida também como agulha de Mielograma para coleta de Aspirados e fragmentos de medula óssea para biopsia;;
01831;04/07/2018;4%;10,00%;AGULHA DE BIOPSIA 11 G X 10 CM;AGULHAS;LEXEL MEDICAL;9018.39.10;NEUTRA;;;SIM;REGIME NORMAL;SIM;NACIONAL;;;CORRELATO;OL;0,00%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 18,35 ; R$ -   ; R$ 18,35 ; R$ 18,35 ;; R$ 18,35 ; R$ 18,35 ;; R$ 18,35 ; R$ 18,35 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;;;;;;;;
01830;04/07/2018;4%;10,00%;AGULHA DE BIOPSIA 8 G X 10 CM;AGULHAS;LEXEL MEDICAL;9018.39.10;NEUTRA;;;SIM;REGIME NORMAL;SIM;NACIONAL;;;CORRELATO;;; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 18,35 ; R$ -   ; R$ 18,35 ; R$ 18,35 ;; R$ 18,35 ; R$ 18,35 ;; R$ 18,35 ; R$ 18,35 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;;;;;;;;
02107;04/07/2018;4%;10,00%;AGULHA POLY PORT A/F 21 G - CURTA- 17MM;AGULHAS;LEXEL MEDICAL;9018.32.19;NEUTRA;;;NÃO;REGIME NORMAL;SIM;IMPORTADO;;;7798142170196;OL;0,00%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 10,84 ; R$ -   ; R$ 10,84 ; R$ 10,84 ;; R$ 10,84 ; R$ 10,84 ;; R$ 10,84 ; R$ 10,84 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;;;;;;Indicada para punção de cateter totalmente implantado;;
02108;04/07/2018;4%;10,00%;AGULHA POLY PORT A/F 21 G - MEDIA - 25MM;AGULHAS;LEXEL MEDICAL;9018.32.19;NEUTRA;;;NÃO;REGIME NORMAL;SIM;IMPORTADO;;;7798142170202;Liberado;0,00%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 10,84 ; R$ -   ; R$ 10,84 ; R$ 10,84 ;; R$ 10,84 ; R$ 10,84 ;; R$ 10,84 ; R$ 10,84 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;;;;;;Indicada para punção de cateter totalmente implantado;;
01645;04/07/2018;4%;10,00%;AGULHA POLY PORT SF TIPO HUBER 19 G - CURTA - 17MM;AGULHAS;LEXEL MEDICAL;9018.32.19;SEM LISTA;;;NÃO;REGIME NORMAL;NÃO;IMPORTADO;;;7798142170783;;; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 9,10 ; R$ -   ; R$ 9,10 ; R$ 9,10 ;; R$ 9,10 ; R$ 9,10 ;; R$ 9,10 ; R$ 9,10 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;;;;;;Indicada para punção de cateter totalmente implantado;;
01646;04/07/2018;4%;10,00%;AGULHA POLY PORT SF TIPO HUBER 19 G - MÉDIA - 25MM;AGULHAS;LEXEL MEDICAL;9018.32.19;SEM LISTA;;;NÃO;REGIME NORMAL;NÃO;NACIONAL;;;7798142170790;OL;0,00%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 9,10 ; R$ -   ; R$ 9,10 ; R$ 9,10 ;; R$ 9,10 ; R$ 9,10 ;; R$ 9,10 ; R$ 9,10 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;;;;;;Indicada para punção de cateter totalmente implantado;;
01647;04/07/2018;4%;10,00%;AGULHA POLY PORT SF TIPO HUBER 20 G - MÉDIA - 17MM;AGULHAS;LEXEL MEDICAL;9018.32.19;SEM LISTA;;;NÃO;REGIME NORMAL;SIM;NACIONAL;;;correlato;OL;0,00%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 9,10 ; R$ -   ; R$ 9,10 ; R$ 9,10 ;; R$ 9,10 ; R$ 9,10 ;; R$ 9,10 ; R$ 9,10 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;;;;;;Indicada para punção de cateter totalmente implantado;;
01669;04/07/2018;4%;10,00%;AGULHA POLY PORT SF TIPO HUBER 21 G - LONGA - 32MM;AGULHAS;LEXEL MEDICAL;9018.32.19;SEM LISTA;;;NÃO;REGIME NORMAL;NÃO;NACIONAL;;;7798142170868;OL;0,00%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 9,10 ; R$ -   ; R$ 9,10 ; R$ 9,10 ;; R$ 9,10 ; R$ 9,10 ;; R$ 9,10 ; R$ 9,10 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;;;;;;Indicada para punção de cateter totalmente implantado;;
01670;04/07/2018;4%;15,00%;AGULHA POLY PORT SF TIPO HUBER 22 G - MEDIA - 17MM;AGULHAS;LEXEL MEDICAL;9018.32.19;SEM LISTA;;;NÃO;REGIME NORMAL;NÃO;NACIONAL;;;correlato;OL;0,00%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 15,00 ; R$ -   ; R$ 15,00 ; R$ 15,00 ;; R$ 15,00 ; R$ 15,00 ;; R$ 15,00 ; R$ 15,00 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;;;;;;Indicada para punção de cateter totalmente implantado;;
01671;04/07/2018;4%;10,00%;AGULHA POLY PORT SF TIPO HUBER 22 G - MÉDIA - 25MM;AGULHAS;LEXEL MEDICAL;9018.32.19;SEM LISTA;;;NÃO;REGIME NORMAL;NÃO;NACIONAL;;;7798142170882;OL;0,00%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 9,10 ; R$ -   ; R$ 9,10 ; R$ 9,10 ;; R$ 9,10 ; R$ 9,10 ;; R$ 9,10 ; R$ 9,10 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;;;;;;Indicada para punção de cateter totalmente implantado;;
04295;07/05/2018;3%;4,00%;ALBUREX 200G L SOL INJ FA X 50ML;ALBUMINA HUMANA;CSL;3002.15.90;POSITIVA;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;REGIME NORMAL;NÃO;NACIONAL;SP;;7897499450941;;; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 136,72 ; R$ -   ; R$ 137,38 ; R$ 138,04 ; R$ 140,75 ; R$ 138,37 ; R$ 130,51 ; R$ 131,07 ; R$ 131,63 ; R$ 133,91 ; R$ -   ; R$ 214,25 ; R$ 215,55 ; R$ 216,86 ; R$ 222,28 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;Indicado para a restauração e a manutenção do volume sanguíneo circulante;;
01239;23/04/2018;4%;Fábrica;ALDACTONE 100 MG CX. C/ 16 COMPR.;ESPIRONOLACTONA;PFIZER;3004.90.59;POSITIVA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;REGIME NORMAL;NÃO;NACIONAL;SP;;7891268100204;3;2,09%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 26,64 ; R$ -   ; R$ 26,80 ; R$ 26,96 ; R$ 27,63 ; R$ 26,64 ; R$ 26,64 ; R$ 26,80 ; R$ 26,96 ; R$ 27,63 ; R$ -   ; R$ 26,64 ; R$ 26,80 ; R$ 26,96 ; R$ 27,63 ; R$ 30,57 ; R$ 36,83 ; R$ 37,05 ; R$ 37,27 ; R$ 38,20 ;É indicado no tratamento da hipertensão essencial, distúrbios edematosos tais como: edema e ascite,cirrose hepática e síndrome nefrótica;;
01225;23/04/2018;4%;Fábrica;ALDACTONE 25 MG CX. C/ 30 COMPR.;ESPIRONOLACTONA;PFIZER;3004.90.59;POSITIVA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;REGIME NORMAL;NÃO;NACIONAL;SP;;7891268100211;;; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 23,36 ; R$ -   ; R$ 23,50 ; R$ 23,64 ; R$ 24,23 ; R$ 23,36 ; R$ 23,36 ; R$ 23,50 ; R$ 23,64 ; R$ 24,23 ; R$ -   ; R$ 23,36 ; R$ 23,50 ; R$ 23,64 ; R$ 24,23 ; R$ 26,79 ; R$ 32,29 ; R$ 32,49 ; R$ 32,68 ; R$ 33,50 ;É indicado no tratamento da hipertensão essencial, distúrbios edematosos tais como: edema e ascite,cirrose hepática e síndrome nefrótica;;
01330;23/04/2018;4%;Fábrica;ALDACTONE 50MG CX. C/ 30COMPR.;ESPIRONOLACTONA;PFIZER;3004.90.59;POSITIVA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;REGIME NORMAL;NÃO;NACIONAL;SP;;7891268100228;;; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 36,75 ; R$ -   ; R$ 36,97 ; R$ 37,20 ; R$ 38,13 ; R$ 36,75 ; R$ 36,75 ; R$ 36,97 ; R$ 37,20 ; R$ 38,13 ; R$ -   ; R$ 36,75 ; R$ 36,97 ; R$ 37,20 ; R$ 38,13 ; R$ 42,16 ; R$ 50,80 ; R$ 51,11 ; R$ 51,43 ; R$ 52,71 ;É indicado no tratamento da hipertensão essencial, distúrbios edematosos tais como: edema e ascite,cirrose hepática e síndrome nefrótica;;
00089;22/04/2018;4%;10,00%;ALFAINTERFERONA 2B RECOMB. 10.000MUI C/5FA+5AMP DIL 1ML;ALFAINTERFERONA 2B;ACHÉ / BIOSSINTETICA;3002.10.39;POSITIVA;REFRIGERADO;NÃO CONTROLADO;NÃO;ISENTO;NÃO;NACIONAL;SP;;7896181901235;3;2,09%; R$ 521,13 ; R$ 521,13 ; R$ 521,13 ; R$ 521,13 ; R$ 521,13 ; R$ 521,13 ; R$ 521,13 ; R$ 521,13 ; R$ 521,13 ; R$ 521,13 ; R$ 521,13 ; R$ 521,13 ; R$ 521,13 ; R$ 521,13 ; R$ 1.575,36 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 2.177,84 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;INTERFERONA - hepatite B e C, leucemia, melanoma, linfoma não-hodgkin;;
00087;22/04/2018;4%;10,00%;ALFAINTERFERONA 2B RECOMB. 3000MUI C/5FA+5AMP DIL 1ML;ALFAINTERFERONA 2B;ACHÉ / BIOSSINTETICA;3002.10.39;POSITIVA;REFRIGERADO;NÃO CONTROLADO;NÃO;ISENTO;NÃO;NACIONAL;SP;;7896181903055;3;2,09%; R$ 152,78 ; R$ 152,78 ; R$ 152,78 ; R$ 152,78 ; R$ 152,78 ; R$ 152,78 ; R$ 152,78 ; R$ 152,78 ; R$ 152,78 ; R$ 152,78 ; R$ 152,78 ; R$ 152,78 ; R$ 152,78 ; R$ 152,78 ; R$ 554,21 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 766,16 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;INTERFERONA - hepatite B e C, leucemia, melanoma, linfoma não-hodgkin;;
00088;22/04/2018;4%;10,00%;ALFAINTERFERONA 2B RECOMB. 5.000MUI C/5FA+5AMP DIL 1ML;ALFAINTERFERONA 2B;ACHÉ / BIOSSINTETICA;3002.10.39;POSITIVA;REFRIGERADO;NÃO CONTROLADO;NÃO;ISENTO;NÃO;NACIONAL;SP;;7896181904014;3;2,09%; R$ 274,32 ; R$ 274,32 ; R$ 274,32 ; R$ 274,32 ; R$ 274,32 ; R$ 274,32 ; R$ 274,32 ; R$ 274,32 ; R$ 274,32 ; R$ 274,32 ; R$ 274,32 ; R$ 274,32 ; R$ 274,32 ; R$ 274,32 ; R$ 828,55 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 1.145,42 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;INTERFERONA - hepatite B e C, leucemia, melanoma, linfoma não-hodgkin;;
